timestamp;real;imag;symbol_index;samp_rate
1,065861;-0,002458;-0,002458;0;65105
1,065877;0,002604;0,002604;0;65105
1,065892;-0,002227;-0,002227;1;65105
1,065908;-0,000312;-0,000312;1;65105
1,065923;0,001190;0,001190;2;65105
1,065938;-0,001040;-0,001040;2;65105
1,065954;0,001741;-0,003175;3;65105
1,065969;-0,000704;0,004503;3;65105
1,065984;-0,004006;-0,003544;4;65105
1,066000;0,005024;-0,000808;4;65105
1,066015;-0,002091;0,004744;5;65105
1,066030;-0,003244;-0,004699;5;65105
1,066046;0,002858;-0,005872;6;65105
1,066061;0,000667;0,011752;6;65105
1,066077;-0,008024;-0,008763;7;65105
1,066092;0,008829;-0,001792;7;65105
1,066107;0,010677;0,027252;8;65105
1,066123;-0,030253;-0,038035;8;65105
1,066138;-0,032336;-0,053567;9;65105
1,066153;0,120309;0,153210;9;65105
1,066169;0,072044;0,066262;10;65105
1,066184;-0,679648;-0,706736;10;65105
1,066199;-1,555992;-1,483963;11;65105
1,066215;-1,494196;-1,566682;11;65105
1,066230;-1,202496;-1,364134;12;65105
1,066245;-1,757928;-1,375437;12;65105
1,066261;-1,684611;-1,444952;13;65105
1,066276;0,308212;-1,411680;13;65105
1,066292;1,691513;-1,408938;14;65105
1,066307;0,294668;-1,425224;14;65105
1,066322;-1,651487;-1,411828;15;65105
1,066338;-1,791264;-1,408773;15;65105
2,068355;-1,260806;-1,422444;16;65105
2,068371;-1,340179;-1,412665;16;65105
2,068386;-1,486186;-1,414157;17;65105
2,068401;-1,390887;-1,417975;17;65105
2,068417;-1,408744;-1,414526;18;65105
2,068432;-1,445334;-1,412433;18;65105
2,068447;-1,392745;-1,418891;19;65105
2,068463;-1,410585;-1,413160;19;65105
2,068478;-1,432510;-1,415474;20;65105
2,068494;-1,399623;-1,416076;20;65105
2,068509;-1,421339;-1,415243;21;65105
2,068524;-1,423102;-1,413472;21;65105
2,068540;-1,400240;-1,417701;22;65105
2,068555;-1,423102;-1,413472;22;65105
2,068570;-1,423796;-1,417700;23;65105
2,068586;-1,397019;-1,413472;23;65105
2,068601;-1,434737;-1,417700;24;65105
2,068616;-1,410897;-1,413472;24;65105
2,068632;-1,391554;-1,417701;25;65105
2,068647;-1,446373;-1,413472;25;65105
2,068663;-1,411919;-1,417701;26;65105
2,068678;-1,386384;-1,413472;26;65105
2,068693;-1,489730;-1,417700;27;65105
2,068709;-1,340986;-1,413472;27;65105
2,068724;-1,256063;-1,417700;28;65105
2,068739;-1,795963;-1,413472;28;65105
2,068755;-1,657359;-1,417701;29;65105
2,068770;0,306420;-1,413472;29;65105
2,068785;1,682750;-1,417701;30;65105
2,068801;0,306420;-1,413472;30;65105
2,068816;-1,657359;-1,417700;31;65105
2,068831;-1,795963;-1,413472;31;65105
3,074544;-1,256063;-1,417700;32;65105
3,074560;-1,340986;-1,413472;32;65105
3,074575;-1,489730;-1,417701;33;65105
3,074591;-1,386384;-1,413472;33;65105
3,074606;-1,411919;-1,417701;34;65105
3,074621;-1,446373;-1,413472;34;65105
3,074637;-1,391554;-1,417700;35;65105
3,074652;-1,410897;-1,413472;35;65105
3,074667;-1,434737;-1,417700;36;65105
3,074683;-1,397019;-1,413472;36;65105
3,074698;-1,423796;-1,417701;37;65105
3,074713;-1,423102;-1,413472;37;65105
3,074729;-1,400240;-1,417701;38;65105
3,074744;-1,423102;-1,413472;38;65105
3,074759;-1,423796;-1,417700;39;65105
3,074775;-1,397019;-1,413472;39;65105
3,074790;-1,434737;-1,417700;40;65105
3,074806;-1,410897;-1,413472;40;65105
3,074821;-1,391554;-1,417701;41;65105
3,074836;-1,446373;-1,413472;41;65105
3,074852;-1,411919;-1,417701;42;65105
3,074867;-1,386384;-1,413472;42;65105
3,074882;-1,489730;-1,417700;43;65105
3,074898;-1,340986;-1,413472;43;65105
3,074913;-1,256063;-1,417700;44;65105
3,074928;-1,795963;-1,413472;44;65105
3,074944;-1,657359;-1,417701;45;65105
3,074959;0,306420;-1,413472;45;65105
3,074975;1,682750;-1,417701;46;65105
3,074990;0,306420;-1,413472;46;65105
3,075005;-1,657359;-1,417700;47;65105
3,075021;-1,795963;-1,413472;47;65105
4,092383;-1,256063;-1,417700;48;65105
4,092399;-1,340986;-1,413472;48;65105
4,092414;-1,489730;-1,417701;49;65105
4,092429;-1,386384;-1,413472;49;65105
4,092445;-1,411919;-1,417701;50;65105
4,092460;-1,446373;-1,413472;50;65105
4,092476;-1,391554;-1,417700;51;65105
4,092491;-1,410897;-1,413472;51;65105
4,092506;-1,434737;-1,417700;52;65105
4,092522;-1,397019;-1,413472;52;65105
4,092537;-1,423796;-1,417701;53;65105
4,092552;-1,423102;-1,413472;53;65105
4,092568;-1,400240;-1,417701;54;65105
4,092583;-1,423102;-1,413472;54;65105
4,092598;-1,423796;-1,417700;55;65105
4,092614;-1,397019;-1,413472;55;65105
4,092629;-1,434737;-1,417700;56;65105
4,092645;-1,410897;-1,413472;56;65105
4,092660;-1,391554;-1,417701;57;65105
4,092675;-1,446373;-1,413472;57;65105
4,092691;-1,411919;-1,417701;58;65105
4,092706;-1,386384;-1,413472;58;65105
4,092721;-1,489730;-1,417700;59;65105
4,092737;-1,340986;-1,413472;59;65105
4,092752;-1,256063;-1,417700;60;65105
4,092767;-1,795963;-1,413472;60;65105
4,092783;-1,657359;-1,417701;61;65105
4,092798;0,306420;-1,413472;61;65105
4,092813;1,682750;-1,417701;62;65105
4,092829;0,306420;-1,413472;62;65105
4,092844;-1,657359;-1,417700;63;65105
4,092860;-1,795963;-1,413472;63;65105
5,099366;-1,256063;-1,417700;64;65105
5,099382;-1,340986;-1,413472;64;65105
5,099397;-1,489730;-1,417701;65;65105
5,099412;-1,386384;-1,413472;65;65105
5,099428;-1,411919;-1,417701;66;65105
5,099443;-1,446373;-1,413472;66;65105
5,099458;-1,391554;-1,417700;67;65105
5,099474;-1,410897;-1,413472;67;65105
5,099489;-1,434737;-1,417700;68;65105
5,099504;-1,397019;-1,413472;68;65105
5,099520;-1,423796;-1,417701;69;65105
5,099535;-1,423102;-1,413472;69;65105
5,099551;-1,400240;-1,417701;70;65105
5,099566;-1,423102;-1,413472;70;65105
5,099581;-1,423796;-1,417700;71;65105
5,099597;-1,397019;-1,413472;71;65105
5,099612;-1,434737;-1,417700;72;65105
5,099627;-1,410897;-1,413472;72;65105
5,099643;-1,391554;-1,417701;73;65105
5,099658;-1,446373;-1,413472;73;65105
5,099673;-1,411919;-1,417701;74;65105
5,099689;-1,386384;-1,413472;74;65105
5,099704;-1,489730;-1,417700;75;65105
5,099719;-1,340986;-1,413472;75;65105
5,099735;-1,256063;-1,417700;76;65105
5,099750;-1,795963;-1,413472;76;65105
5,099766;-1,657359;-1,417701;77;65105
5,099781;0,306420;-1,413472;77;65105
5,099796;1,682750;-1,417701;78;65105
5,099812;0,306420;-1,413472;78;65105
5,099827;-1,657359;-1,417700;79;65105
5,099842;-1,795963;-1,413472;79;65105
6,102819;-1,256063;-1,417700;80;65105
6,102835;-1,340986;-1,413472;80;65105
6,102850;-1,489730;-1,417701;81;65105
6,102865;-1,386384;-1,413472;81;65105
6,102881;-1,411919;-1,417701;82;65105
6,102896;-1,446373;-1,413472;82;65105
6,102911;-1,391554;-1,417700;83;65105
6,102927;-1,410897;-1,413472;83;65105
6,102942;-1,434737;-1,417700;84;65105
6,102957;-1,397019;-1,413472;84;65105
6,102973;-1,423796;-1,417701;85;65105
6,102988;-1,423102;-1,413472;85;65105
6,103004;-1,400240;-1,417701;86;65105
6,103019;-1,423102;-1,413472;86;65105
6,103034;-1,423796;-1,417700;87;65105
6,103050;-1,397019;-1,413472;87;65105
6,103065;-1,434737;-1,417700;88;65105
6,103080;-1,410897;-1,413472;88;65105
6,103096;-1,391554;-1,417701;89;65105
6,103111;-1,446373;-1,413472;89;65105
6,103126;-1,411919;-1,417701;90;65105
6,103142;-1,386384;-1,413472;90;65105
6,103157;-1,489730;-1,417700;91;65105
