sample_index;real;imag;amplitude;phase_rad
316;-1,4177005291;1,6827499866;2,2003457546;2,2709143162
317;-1,4134721756;0,3064201176;1,4463045597;2,9281105995
318;-1,4177004099;-1,6573588848;2,1809890270;-2,2784154415
319;-1,4134721756;-1,7959628105;2,2854728699;-2,2375769615
320;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
321;-1,4134720564;-1,3409861326;1,9483704567;-2,3825042248
322;-1,4177005291;-1,4897298813;2,0564947128;-2,3314254284
323;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
324;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
325;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
326;-1,4177004099;-1,3915539980;1,9865288734;-2,3655014038
327;-1,4134721756;-1,4108970165;1,9971313477;-2,3571062088
328;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
329;-1,4134720564;-1,3970193863;1,9873516560;-2,3620483875
330;-1,4177005291;-1,4237962961;2,0092463493;-2,3540492058
331;-1,4134721756;-1,4231020212;2,0057723522;-2,3527996540
332;-1,4177005291;-1,4002397060;1,9926229715;-2,3623907566
333;-1,4134721756;-1,4231022596;2,0057725906;-2,3527994156
334;-1,4177004099;-1,4237962961;2,0092461109;-2,3540492058
335;-1,4134721756;-1,3970193863;1,9873516560;-2,3620483875
336;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
337;-1,4134720564;-1,4108970165;1,9971313477;-2,3571062088
338;-1,4177005291;-1,3915539980;1,9865288734;-2,3655014038
339;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
340;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
341;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
342;-1,4177004099;-1,4897297621;2,0564944744;-2,3314254284
343;-1,4134721756;-1,3409862518;1,9483705759;-2,3825042248
344;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
345;-1,4134720564;-1,7959626913;2,2854726315;-2,2375769615
346;-1,4177005291;-1,6573590040;2,1809892654;-2,2784154415
347;-1,4134721756;0,3064201772;1,4463045597;2,9281105995
348;-1,4177005291;1,6827499866;2,2003457546;2,2709143162
349;-1,4134721756;0,3064201176;1,4463045597;2,9281105995
350;-1,4177004099;-1,6573588848;2,1809890270;-2,2784154415
351;-1,4134721756;-1,7959628105;2,2854728699;-2,2375769615
352;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
353;-1,4134720564;-1,3409861326;1,9483704567;-2,3825042248
354;-1,4177005291;-1,4897298813;2,0564947128;-2,3314254284
355;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
356;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
357;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
358;-1,4177004099;-1,3915539980;1,9865288734;-2,3655014038
359;-1,4134721756;-1,4108970165;1,9971313477;-2,3571062088
360;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
361;-1,4134720564;-1,3970193863;1,9873516560;-2,3620483875
362;-1,4177005291;-1,4237962961;2,0092463493;-2,3540492058
363;-1,4134721756;-1,4231020212;2,0057723522;-2,3527996540
364;-1,4177005291;-1,4002397060;1,9926229715;-2,3623907566
365;-1,4134721756;-1,4231022596;2,0057725906;-2,3527994156
366;-1,4177004099;-1,4237962961;2,0092461109;-2,3540492058
367;-1,4134721756;-1,3970193863;1,9873516560;-2,3620483875
368;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
369;-1,4134720564;-1,4108970165;1,9971313477;-2,3571062088
370;-1,4177005291;-1,3915539980;1,9865288734;-2,3655014038
371;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
372;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
373;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
374;-1,4177004099;-1,4897297621;2,0564944744;-2,3314254284
375;-1,4134721756;-1,3409862518;1,9483705759;-2,3825042248
376;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
377;-1,4134720564;-1,7959626913;2,2854726315;-2,2375769615
378;-1,4177005291;-1,6573590040;2,1809892654;-2,2784154415
379;-1,4134721756;0,3064201772;1,4463045597;2,9281105995
380;-1,4177005291;1,6827499866;2,2003457546;2,2709143162
381;-1,4134721756;0,3064201176;1,4463045597;2,9281105995
382;-1,4177004099;-1,6573588848;2,1809890270;-2,2784154415
383;-1,4134721756;-1,7959628105;2,2854728699;-2,2375769615
384;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
385;-1,4134720564;-1,3409861326;1,9483704567;-2,3825042248
386;-1,4177005291;-1,4897298813;2,0564947128;-2,3314254284
387;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
388;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
389;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
390;-1,4177004099;-1,3915539980;1,9865288734;-2,3655014038
391;-1,4134721756;-1,4108970165;1,9971313477;-2,3571062088
392;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
393;-1,4134720564;-1,3970193863;1,9873516560;-2,3620483875
394;-1,4177005291;-1,4237962961;2,0092463493;-2,3540492058
395;-1,4134721756;-1,4231020212;2,0057723522;-2,3527996540
396;-1,4177005291;-1,4002397060;1,9926229715;-2,3623907566
397;-1,4134721756;-1,4231022596;2,0057725906;-2,3527994156
398;-1,4177004099;-1,4237962961;2,0092461109;-2,3540492058
399;-1,4134721756;-1,3970193863;1,9873516560;-2,3620483875
400;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
401;-1,4134720564;-1,4108970165;1,9971313477;-2,3571062088
402;-1,4177005291;-1,3915539980;1,9865288734;-2,3655014038
403;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
404;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
405;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
406;-1,4177004099;-1,4897297621;2,0564944744;-2,3314254284
407;-1,4134721756;-1,3409862518;1,9483705759;-2,3825042248
408;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
409;-1,4134720564;-1,7959626913;2,2854726315;-2,2375769615
410;-1,4177005291;-1,6573590040;2,1809892654;-2,2784154415
411;-1,4134721756;0,3064201772;1,4463045597;2,9281105995
412;-1,4177005291;1,6827499866;2,2003457546;2,2709143162
413;-1,4134721756;0,3064201176;1,4463045597;2,9281105995
414;-1,4177004099;-1,6573588848;2,1809890270;-2,2784154415
415;-1,4134721756;-1,7959628105;2,2854728699;-2,2375769615
