timestamp;real;imag;symbol_index;samp_rate
3,048946;-0,002458;-0,002458;0;32000
3,048977;0,002604;0,002604;0;32000
3,049009;-0,002227;-0,002227;1;32000
3,049040;-0,000312;-0,000312;1;32000
3,049071;0,001190;0,001190;2;32000
3,049102;-0,001040;-0,001040;2;32000
3,049134;-0,003175;0,001741;3;32000
3,049165;0,004503;-0,000704;3;32000
3,049196;-0,003544;-0,004006;4;32000
3,049227;-0,000808;0,005024;4;32000
3,049259;0,004744;-0,002091;5;32000
3,049290;-0,004699;-0,003244;5;32000
3,049321;-0,005872;0,002858;6;32000
3,049352;0,011752;0,000667;6;32000
3,049384;-0,003847;-0,008024;7;32000
3,049415;-0,007000;0,008829;7;32000
3,049446;0,026790;0,010677;8;32000
3,049477;-0,032204;-0,030253;8;32000
3,049509;-0,060401;-0,032336;9;32000
3,049540;0,154665;0,120309;9;32000
3,049571;0,074993;0,072044;10;32000
3,049602;-0,717821;-0,679648;10;32000
3,049634;-1,483225;-1,555992;11;32000
3,049665;-1,556061;-1,494196;11;32000
3,049696;-1,380708;-1,202496;12;32000
3,049727;-1,367654;-1,757928;12;32000
3,049759;-1,423721;-1,684611;13;32000
3,049790;-1,444581;0,308212;13;32000
3,049821;-1,403156;1,691513;14;32000
3,049852;-1,398136;0,294668;14;32000
3,049884;-1,483858;-1,651487;15;32000
3,049915;-1,336287;-1,791264;15;32000
7,081043;-1,260806;-1,260806;16;32000
7,081074;-1,795155;-1,340179;16;32000
7,081106;-1,653815;-1,486186;17;32000
7,081137;0,301917;-1,390887;17;32000
7,081168;1,685925;-1,408744;18;32000
7,081199;0,307460;-1,445334;18;32000
7,081231;-1,658549;-1,392745;19;32000
7,081262;-1,795651;-1,410585;19;32000
7,081293;-1,253836;-1,432510;20;32000
7,081324;-1,343590;-1,399623;20;32000
7,081356;-1,487272;-1,421339;21;32000
7,081387;-1,386384;-1,423102;21;32000
7,081418;-1,411919;-1,400240;22;32000
7,081449;-1,446373;-1,423102;22;32000
7,081481;-1,396469;-1,423796;23;32000
7,081512;-1,405690;-1,397019;23;32000
7,081543;-1,434275;-1,434737;24;32000
7,081574;-1,402851;-1,410897;24;32000
7,081606;-1,416962;-1,391554;25;32000
7,081637;-1,424557;-1,446373;25;32000
7,081668;-1,408970;-1,411919;26;32000
7,081699;-1,412017;-1,386384;26;32000
7,081731;-1,424535;-1,489730;27;32000
7,081762;-1,407641;-1,340986;27;32000
7,081793;-1,418162;-1,256063;28;32000
7,081824;-1,418679;-1,795963;28;32000
7,081856;-1,412785;-1,657359;29;32000
7,081887;-1,413472;0,306420;29;32000
7,081918;-1,417701;1,682750;30;32000
7,081949;-1,413472;0,306420;30;32000
7,081981;-1,417700;-1,652444;31;32000
7,082012;-1,413472;-1,801170;31;32000
