timestamp;real;imag;symbol_index;samp_rate
1,034247;-0,000289;0,000000;0;65105
1,034262;0,000195;0,000000;0;65105
1,034277;0,000492;0,000000;0;65105
1,034293;0,000289;0,000000;0;65105
1,034308;0,000070;0,000000;1;65105
1,034323;-0,000705;0,000000;1;65105
1,034339;-0,000759;0,000000;1;65105
1,034354;-0,000009;0,000000;1;65105
1,034370;0,000499;0,000000;2;65105
1,034385;0,000980;0,000000;2;65105
1,034400;0,000427;0,000000;2;65105
1,034416;-0,000628;0,000000;2;65105
1,034431;-0,000806;0,000000;3;65105
1,034446;-0,000634;0,000000;3;65105
1,034462;0,000234;0,000000;3;65105
1,034477;0,000925;0,000000;3;65105
1,034492;0,000416;0,000000;4;65105
1,034508;-0,000055;0,000000;4;65105
1,034523;-0,000490;0,000000;4;65105
1,034539;-0,000432;0,000000;4;65105
1,034554;-0,000210;0,000000;5;65105
1,034569;0,000714;0,000000;5;65105
1,034585;0,000903;0,000000;5;65105
1,034600;0,000128;0,000000;5;65105
1,034615;-0,000540;0,000000;6;65105
1,034631;-0,001139;0,000000;6;65105
1,034646;-0,000525;0,000000;6;65105
1,034661;0,000712;0,000000;6;65105
1,034677;0,001574;0,000000;7;65105
1,034692;0,000340;0,000000;7;65105
1,034707;-0,001323;0,000000;7;65105
1,034723;-0,001699;0,000000;7;65105
1,034738;-0,000627;0,000000;8;65105
1,034754;0,001595;0,000000;8;65105
1,034769;0,002185;0,000000;8;65105
1,034784;0,000448;0,000000;8;65105
1,034800;-0,002154;0,000000;9;65105
1,034815;-0,002093;0,000000;9;65105
1,034830;0,000266;0,000000;9;65105
1,034846;0,002580;0,000000;9;65105
1,034861;0,002672;0,000000;10;65105
1,034876;-0,000491;0,000000;10;65105
1,034892;-0,003292;0,000000;10;65105
1,034907;-0,002785;0,000000;10;65105
1,034923;0,000358;0,000000;11;65105
1,034938;0,003680;0,000000;11;65105
1,034953;0,003126;0,000000;11;65105
1,034969;-0,000948;0,000000;11;65105
1,034984;-0,004645;0,000000;12;65105
1,034999;-0,003111;0,000000;12;65105
1,035015;0,001980;0,000000;12;65105
1,035030;0,005506;0,000000;12;65105
1,035045;0,003308;0,000000;13;65105
1,035061;-0,001924;0,000000;13;65105
1,035076;-0,005341;0,000000;13;65105
1,035091;-0,003183;0,000000;13;65105
1,035107;0,002839;0,000000;14;65105
1,035122;0,005582;0,000000;14;65105
1,035138;0,002121;0,000000;14;65105
1,035153;-0,004416;0,000000;14;65105
1,035168;-0,007382;0,000000;15;65105
1,035184;-0,002182;0,000000;15;65105
1,035199;0,006046;0,000000;15;65105
1,035214;0,008770;0,000000;15;65105
1,035230;0,002230;0,000000;16;65105
1,035245;-0,006458;0,000000;16;65105
1,035260;-0,008218;0,000000;16;65105
1,035276;-0,000127;0,000000;16;65105
1,035291;0,009994;0,000000;17;65105
1,035307;0,009374;0,000000;17;65105
1,035322;-0,003406;0,000000;17;65105
1,035337;-0,016343;0,000000;17;65105
1,035353;-0,014743;0,000000;18;65105
1,035368;0,003592;0,000000;18;65105
1,035383;0,020336;0,000000;18;65105
1,035399;0,015391;0,000000;18;65105
1,035414;-0,009267;0,000000;19;65105
1,035429;-0,025922;0,000000;19;65105
1,035445;-0,003993;0,000000;19;65105
1,035460;0,048704;0,000000;19;65105
1,035475;0,075881;0,000000;20;65105
1,035491;0,013790;0,000000;20;65105
1,035506;-0,132236;0,000000;20;65105
1,035522;-0,250995;0,000000;20;65105
1,035537;-0,175080;0,000000;21;65105
1,035552;0,192848;0,000000;21;65105
1,035568;0,757389;0,000000;21;65105
1,035583;1,229114;0,000000;21;65105
1,035598;1,275381;0,000000;22;65105
1,035614;0,746219;0,000000;22;65105
1,035629;-0,174390;0,000000;22;65105
1,035644;-1,028216;0,000000;22;65105
1,035660;-1,337240;0,000000;23;65105
1,035675;-0,905689;0,000000;23;65105
1,035691;0,038614;0,000000;23;65105
1,035706;0,960830;0,000000;23;65105
1,035721;1,335584;0,000000;24;65105
1,035737;0,961573;0,000000;24;65105
1,035752;0,068471;0,000000;24;65105
1,035767;-0,835364;0,000000;24;65105
1,035783;-1,271619;0,000000;25;65105
1,035798;-1,050171;0,000000;25;65105
1,035813;-0,332250;0,000000;25;65105
1,035829;0,519367;0,000000;25;65105
1,035844;1,169325;0,000000;26;65105
1,035859;1,467648;0,000000;26;65105
1,035875;1,451924;0,000000;26;65105
1,035890;1,243241;0,000000;26;65105
1,035906;0,931921;0,000000;27;65105
1,035921;0,536838;0,000000;27;65105
1,035936;0,051282;0,000000;27;65105
1,035952;-0,493548;0,000000;27;65105
1,035967;-1,002908;0,000000;28;65105
1,035982;-1,355289;0,000000;28;65105
1,035998;-1,461983;0,000000;28;65105
1,036013;-1,310931;0,000000;28;65105
1,036028;-0,959991;0,000000;29;65105
1,036044;-0,497481;0,000000;29;65105
1,036059;0,002863;0,000000;29;65105
1,036074;0,494100;0,000000;29;65105
1,036090;0,941336;0,000000;30;65105
1,036105;1,298005;0,000000;30;65105
1,036121;1,490457;0,000000;30;65105
1,036136;1,436138;0,000000;30;65105
1,036151;1,085391;0,000000;31;65105
1,036167;0,470034;0,000000;31;65105
1,036182;-0,263983;0,000000;31;65105
1,036197;-0,880635;0,000000;31;65105
1,036213;-1,137094;0,000000;32;65105
1,036228;-0,900465;0,000000;32;65105
1,036243;-0,241478;0,000000;32;65105
1,036259;0,573350;0,000000;32;65105
1,036274;1,203925;0,000000;33;65105
1,036290;1,422614;0,000000;33;65105
1,036305;1,244500;0,000000;33;65105
1,036320;0,915775;0,000000;33;65105
1,036336;0,745155;0,000000;34;65105
1,036351;0,887612;0,000000;34;65105
1,036366;1,224344;0,000000;34;65105
1,036382;1,440297;0,000000;34;65105
1,036397;1,246044;0,000000;35;65105
1,036412;0,594486;0,000000;35;65105
1,036428;-0,269481;0,000000;35;65105
1,036443;-0,953728;0,000000;35;65105
1,036458;-1,159419;0,000000;36;65105
1,036474;-0,846039;0,000000;36;65105
1,036489;-0,210353;0,000000;36;65105
1,036505;0,472444;0,000000;36;65105
1,036520;1,015114;0,000000;37;65105
1,036535;1,364842;0,000000;37;65105
1,036551;1,529789;0,000000;37;65105
1,036566;1,478028;0,000000;37;65105
1,036581;1,131320;0,000000;38;65105
1,036597;0,470259;0,000000;38;65105
1,036612;-0,355026;0,000000;38;65105
1,036627;-1,025973;0,000000;38;65105
1,036643;-1,214804;0,000000;39;65105
1,036658;-0,802424;0,000000;39;65105
1,036674;0,015125;0,000000;39;65105
1,036689;0,816765;0,000000;39;65105
1,036704;1,197566;0,000000;40;65105
1,036720;0,994843;0,000000;40;65105
1,036735;0,343667;0,000000;40;65105
1,036750;-0,447480;0,000000;40;65105
1,036766;-1,095317;0,000000;41;65105
1,036781;-1,466426;0,000000;41;65105
1,036796;-1,558565;0,000000;41;65105
1,036812;-1,408490;0,000000;41;65105
1,036827;-1,029352;0,000000;42;65105
1,036842;-0,441446;0,000000;42;65105
1,036858;0,254908;0,000000;42;65105
1,036873;0,850900;0,000000;42;65105
1,036889;1,108546;0,000000;43;65105
1,036904;0,898119;0,000000;43;65105
1,036919;0,293217;0,000000;43;65105
1,036935;-0,464724;0,000000;43;65105
1,036950;-1,102716;0,000000;44;65105
1,036965;-1,452036;0,000000;44;65105
1,036981;-1,498289;0,000000;44;65105
1,036996;-1,315009;0,000000;44;65105
1,037011;-0,974118;0,000000;45;65105
1,037027;-0,507115;0,000000;45;65105
1,037042;0,055703;0,000000;45;65105
1,037058;0,627813;0,000000;45;65105
1,037073;1,068652;0,000000;46;65105
1,037088;1,258057;0,000000;46;65105
1,037104;1,189750;0,000000;46;65105
1,037119;0,996189;0,000000;46;65105
1,037134;0,868298;0,000000;47;65105
1,037150;0,921493;0,000000;47;65105
1,037165;1,112967;0,000000;47;65105
1,037180;1,258196;0,000000;47;65105
1,037196;1,153456;0,000000;48;65105
1,037211;0,711033;0,000000;48;65105
1,037226;0,024125;0,000000;48;65105
1,037242;-0,678835;0,000000;48;65105
1,037257;-1,159812;0,000000;49;65105
1,037273;-1,299299;0,000000;49;65105
1,037288;-1,154598;0,000000;49;65105
1,037303;-0,920483;0,000000;49;65105
1,037319;-0,814941;0,000000;50;65105
1,037334;-0,943319;0,000000;50;65105
1,037349;-1,220699;0,000000;50;65105
1,037365;-1,404660;0,000000;50;65105
1,037380;-1,235602;0,000000;51;65105
1,037395;-0,620502;0,000000;51;65105
1,037411;0,265999;0,000000;51;65105
1,037426;1,031961;0,000000;51;65105
1,037442;1,281955;0,000000;52;65105
1,037457;0,862806;0,000000;52;65105
1,037472;-0,015809;0,000000;52;65105
1,037488;-0,882194;0,000000;52;65105
1,037503;-1,273765;0,000000;53;65105
1,037518;-1,003181;0,000000;53;65105
1,037534;-0,244323;0,000000;53;65105
1,037549;0,607784;0,000000;53;65105
1,037564;1,192118;0,000000;54;65105
1,037580;1,373142;0,000000;54;65105
1,037595;1,260652;0,000000;54;65105
1,037610;1,064269;0,000000;54;65105
1,037626;0,933234;0,000000;55;65105
1,037641;0,891205;0,000000;55;65105
1,037657;0,891380;0,000000;55;65105
1,037672;0,907550;0,000000;55;65105
1,037687;0,962877;0,000000;56;65105
1,037703;1,081641;0,000000;56;65105
1,037718;1,215951;0,000000;56;65105
1,037733;1,247301;0,000000;56;65105
1,037749;1,059169;0,000000;57;65105
1,037764;0,629990;0,000000;57;65105
1,037779;0,052084;0,000000;57;65105
1,037795;-0,525548;0,000000;57;65105
1,037810;-0,991713;0,000000;58;65105
1,037826;-1,309490;0,000000;58;65105
1,037841;-1,473576;0,000000;58;65105
1,037856;-1,442612;0,000000;58;65105
1,037872;-1,132811;0,000000;59;65105
1,037887;-0,505171;0,000000;59;65105
1,037902;0,314243;0,000000;59;65105
1,037918;1,018985;0,000000;59;65105
1,037933;1,254851;0,000000;60;65105
1,037948;0,849527;0,000000;60;65105
1,037964;-0,032553;0,000000;60;65105
1,037979;-0,928118;0,000000;60;65105
1,037994;-1,328797;0,000000;61;65105
1,038010;-0,988991;0,000000;61;65105
1,038025;-0,089409;0,000000;61;65105
1,038041;0,861782;0,000000;61;65105
1,038056;1,333495;0,000000;62;65105
1,038071;1,080970;0,000000;62;65105
1,038087;0,268726;0,000000;62;65105
1,038102;-0,661515;0,000000;62;65105
1,038117;-1,277552;0,000000;63;65105
1,038133;-1,404295;0,000000;63;65105
1,038148;-1,175187;0,000000;63;65105
1,038163;-0,895022;0,000000;63;65105
1,035250;-0,812293;0,000000;64;65105
1,035265;-0,969253;0,000000;64;65105
1,035281;-1,203162;0,000000;64;65105
1,035296;-1,287904;0,000000;64;65105
1,035311;-1,085838;0,000000;65;65105
1,035327;-0,618526;0,000000;65;65105
1,035342;-0,023090;0,000000;65;65105
1,035357;0,548025;0,000000;65;65105
1,035373;0,999519;0,000000;66;65105
1,035388;1,295853;0,000000;66;65105
1,035404;1,423750;0,000000;66;65105
1,035419;1,352727;0,000000;66;65105
1,035434;1,052284;0,000000;67;65105
1,035450;0,539232;0,000000;67;65105
1,035465;-0,083952;0,000000;67;65105
1,035480;-0,660662;0,000000;67;65105
1,035496;-1,052701;0,000000;68;65105
1,035511;-1,211941;0,000000;68;65105
1,035526;-1,191527;0,000000;68;65105
1,035542;-1,092782;0,000000;68;65105
1,035557;-0,995246;0,000000;69;65105
1,035573;-0,924945;0,000000;69;65105
1,035588;-0,877800;0,000000;69;65105
1,035603;-0,865053;0,000000;69;65105
1,035619;-0,926275;0,000000;70;65105
1,035634;-1,084772;0,000000;70;65105
