timestamp;real;imag;samp_rate
0,644651;-1,000000;-1,000000;32000
1,034602;-1,000000;1,000000;32000
2,042603;1,000000;1,000000;32000
3,053633;1,000000;1,000000;32000
4,058365;-1,000000;-1,000000;32000
5,073648;1,000000;1,000000;32000
6,082392;1,000000;1,000000;32000
7,086947;-1,000000;-1,000000;32000
8,095411;1,000000;-1,000000;32000
9,109683;1,000000;-1,000000;32000
10,110024;-1,000000;1,000000;32000
11,118230;1,000000;-1,000000;32000
12,126361;1,000000;1,000000;32000
13,133652;1,000000;1,000000;32000
14,148690;1,000000;1,000000;32000
15,161786;-1,000000;1,000000;32000
16,162404;1,000000;1,000000;32000
17,166555;1,000000;-1,000000;32000
18,177214;1,000000;1,000000;32000
19,190917;1,000000;1,000000;32000
20,201999;1,000000;1,000000;32000
21,207503;1,000000;1,000000;32000
22,210163;-1,000000;-1,000000;32000
23,219152;-1,000000;-1,000000;32000
24,234771;-1,000000;-1,000000;32000
25,243603;-1,000000;1,000000;32000
26,251403;-1,000000;1,000000;32000
27,251724;1,000000;1,000000;32000
28,258712;1,000000;1,000000;32000
29,260011;-1,000000;1,000000;32000
30,268369;1,000000;1,000000;32000
31,276324;-1,000000;1,000000;32000
32,293035;1,000000;-1,000000;32000
33,301584;-1,000000;-1,000000;32000
34,309402;-1,000000;-1,000000;32000
35,320299;-1,000000;-1,000000;32000
36,325691;1,000000;1,000000;32000
37,338509;1,000000;-1,000000;32000
38,340958;-1,000000;1,000000;32000
39,343674;-1,000000;1,000000;32000
40,353094;1,000000;1,000000;32000
41,354653;-1,000000;1,000000;32000
42,359582;-1,000000;1,000000;32000
43,367466;-1,000000;1,000000;32000
44,382370;1,000000;1,000000;32000
45,393410;-1,000000;1,000000;32000
46,401186;1,000000;1,000000;32000
47,407671;1,000000;-1,000000;32000
48,417853;1,000000;-1,000000;32000
49,426875;-1,000000;-1,000000;32000
50,435275;1,000000;1,000000;32000
51,439415;1,000000;1,000000;32000
52,440021;-1,000000;1,000000;32000
53,450920;1,000000;1,000000;32000
54,458054;1,000000;1,000000;32000
55,464325;-1,000000;-1,000000;32000
56,467941;-1,000000;-1,000000;32000
57,472310;1,000000;1,000000;32000
