timestamp;byte;samp_rate
2,055038;19;32000
2,055070;86;32000
2,055101;188;32000
2,055132;174;32000
2,055163;83;32000
3,061169;19;32000
3,061200;86;32000
3,061232;188;32000
3,061263;174;32000
3,061294;83;32000
4,074575;19;32000
4,074606;86;32000
4,074638;188;32000
4,074669;174;32000
4,074700;83;32000
5,080115;19;32000
5,080146;86;32000
5,080178;188;32000
5,080209;174;32000
5,080240;83;32000
6,090646;19;32000
6,090678;86;32000
6,090709;188;32000
6,090740;174;32000
6,090771;83;32000
7,102015;19;32000
7,102046;86;32000
7,102077;188;32000
7,102109;174;32000
7,102140;83;32000
8,100953;19;32000
8,100984;86;32000
8,101015;188;32000
8,101046;174;32000
8,101078;83;32000
9,103006;19;32000
9,103038;86;32000
9,103069;188;32000
9,103100;174;32000
9,103131;83;32000
10,102125;19;32000
10,102156;86;32000
10,102188;188;32000
10,102219;174;32000
10,102250;83;32000
11,105270;19;32000
11,105302;86;32000
11,105333;188;32000
11,105364;174;32000
11,105395;83;32000
12,119782;19;32000
12,119813;86;32000
12,119844;188;32000
12,119876;174;32000
12,119907;83;32000
13,132974;19;32000
13,133006;86;32000
13,133037;188;32000
13,133068;174;32000
13,133099;83;32000
