timestamp;byte;samp_rate
0,096749;49;65105
0,096764;183;65105
0,096780;239;65105
0,096795;220;65105
0,096811;131;65105
0,096749;49;65105
0,096764;183;65105
0,096780;239;65105
0,096795;220;65105
0,096811;131;65105
0,096826;49;65105
0,096841;183;65105
0,096857;239;65105
0,096872;220;65105
0,096887;131;65105
0,096903;49;65105
0,096918;183;65105
0,096933;239;65105
0,096949;220;65105
0,096964;131;65105
0,096979;49;65105
0,096995;183;65105
0,097010;239;65105
0,097026;220;65105
0,097041;131;65105
0,097056;49;65105
0,097072;183;65105
0,097087;239;65105
0,097102;220;65105
0,097118;131;65105
0,097133;49;65105
0,097148;183;65105
0,097164;239;65105
0,097179;220;65105
0,097195;131;65105
0,097210;49;65105
0,097225;183;65105
0,097241;239;65105
0,097256;220;65105
0,097271;131;65105
0,097287;49;65105
0,097302;183;65105
0,097317;239;65105
0,097333;220;65105
0,097348;131;65105
0,097363;49;65105
0,097379;183;65105
0,097394;239;65105
0,097410;220;65105
0,097425;131;65105
0,097440;49;65105
0,097456;183;65105
0,097471;239;65105
0,097486;220;65105
0,097502;131;65105
0,097517;49;65105
0,097532;183;65105
0,097548;239;65105
0,097563;220;65105
0,097578;131;65105
0,097594;49;65105
0,097609;183;65105
0,097625;239;65105
0,097640;220;65105
0,097655;131;65105
0,097671;49;65105
0,097686;183;65105
0,097701;239;65105
0,097717;220;65105
0,097732;131;65105
0,097747;49;65105
0,097763;183;65105
0,097778;239;65105
0,097794;220;65105
0,097809;131;65105
0,097824;49;65105
0,097840;183;65105
0,097855;239;65105
0,097870;220;65105
0,097886;131;65105
0,097901;49;65105
0,097916;183;65105
0,097932;239;65105
0,097947;220;65105
0,097962;131;65105
0,097978;49;65105
0,097993;183;65105
0,098009;239;65105
0,098024;220;65105
0,098039;131;65105
0,098055;49;65105
0,098070;183;65105
0,098085;239;65105
0,098101;220;65105
0,098116;131;65105
0,098131;49;65105
0,098147;183;65105
0,098162;239;65105
0,098178;220;65105
0,098193;131;65105
0,098208;49;65105
0,098224;183;65105
0,098239;239;65105
0,098254;220;65105
0,098270;131;65105
0,098285;49;65105
0,098300;183;65105
0,098316;239;65105
0,098331;220;65105
0,098346;131;65105
0,098362;49;65105
0,098377;183;65105
0,098393;239;65105
0,098408;220;65105
0,098423;131;65105
0,098439;49;65105
0,098454;183;65105
0,098469;239;65105
0,098485;220;65105
0,098500;131;65105
0,098515;49;65105
0,098531;183;65105
0,098546;239;65105
0,098562;220;65105
0,098577;131;65105
0,098592;49;65105
0,098608;183;65105
0,098623;239;65105
0,098638;220;65105
0,098654;131;65105
0,098669;49;65105
0,098684;183;65105
0,098700;239;65105
0,098715;220;65105
0,098730;131;65105
0,098746;49;65105
0,098761;183;65105
0,098777;239;65105
0,098792;220;65105
0,098807;131;65105
0,098823;49;65105
0,098838;183;65105
0,098853;239;65105
0,098869;220;65105
0,098884;131;65105
0,098899;49;65105
0,098915;183;65105
0,098930;239;65105
0,098946;220;65105
0,098961;131;65105
0,098976;49;65105
0,098992;183;65105
0,099007;239;65105
0,099022;220;65105
0,099038;131;65105
0,099053;49;65105
0,099068;183;65105
0,099084;239;65105
0,099099;220;65105
0,099114;131;65105
0,099130;49;65105
0,099145;183;65105
0,099161;239;65105
0,099176;220;65105
0,099191;131;65105
0,099207;49;65105
0,099222;183;65105
0,099237;239;65105
0,099253;220;65105
0,099268;131;65105
0,099283;49;65105
0,099299;183;65105
0,099314;239;65105
0,099330;220;65105
0,099345;131;65105
0,099360;49;65105
0,099376;183;65105
0,099391;239;65105
0,099406;220;65105
0,099422;131;65105
0,099437;49;65105
0,099452;183;65105
0,099468;239;65105
0,099483;220;65105
0,099498;131;65105
0,099514;49;65105
0,099529;183;65105
0,099545;239;65105
0,099560;220;65105
0,099575;131;65105
0,099591;49;65105
0,099606;183;65105
0,099621;239;65105
0,099637;220;65105
0,099652;131;65105
0,099667;49;65105
0,099683;183;65105
0,099698;239;65105
0,099714;220;65105
0,099729;131;65105
0,099744;49;65105
0,099760;183;65105
0,099775;239;65105
0,099790;220;65105
0,099806;131;65105
0,099821;49;65105
0,099836;183;65105
0,099852;239;65105
0,099867;220;65105
0,099882;131;65105
0,099898;49;65105
0,099913;183;65105
0,099929;239;65105
0,099944;220;65105
0,099959;131;65105
0,099975;49;65105
0,099990;183;65105
0,100005;239;65105
0,100021;220;65105
0,100036;131;65105
0,100051;49;65105
0,100067;183;65105
0,100082;239;65105
0,100098;220;65105
0,100113;131;65105
0,100128;49;65105
0,100144;183;65105
0,100159;239;65105
0,100174;220;65105
0,100190;131;65105
0,100205;49;65105
0,100220;183;65105
0,100236;239;65105
0,100251;220;65105
0,100266;131;65105
0,100282;49;65105
0,100297;183;65105
0,100313;239;65105
0,100328;220;65105
0,100343;131;65105
0,100359;49;65105
0,100374;183;65105
